fighter_id,canonical_name,display_name,alias_name,identity_source
ufcp-152e1da6-824b-5ef8-9e54-05c2a60a6308,aleksandre topuria,Aleksandre Topuria,ALEKSANDRE TOPURIA,UFC-DataLab/UFCStats-derived name
ufcp-3e042c8c-22d9-5f12-afad-77f6a295bf5f,aleksei kunchenko,Aleksei Kunchenko,Aleksei Kunchenko,UFC-DataLab/UFCStats-derived name
ufcp-3e042c8c-22d9-5f12-afad-77f6a295bf5f,aleksei kunchenko,Aleksei Kunchenko,ALEKSEI KUNCHENKO,UFC-DataLab/UFCStats-derived name
ufcp-648ddabf-b274-5d32-a3a6-c7c40d467b3a,aleksei oleinik,Aleksei Oleinik,ALEKSEI OLEINIK,UFC-DataLab/UFCStats-derived name
ufcp-648ddabf-b274-5d32-a3a6-c7c40d467b3a,aleksei oleinik,Aleksei Oleinik,Aleksei Oleinik,UFC-DataLab/UFCStats-derived name
ufcp-b6ff330d-db7d-526f-bffb-d147de9471b6,alen amedovski,Alen Amedovski,Alen Amedovski,UFC-DataLab/UFCStats-derived name
ufcp-b6ff330d-db7d-526f-bffb-d147de9471b6,alen amedovski,Alen Amedovski,ALEN AMEDOVSKI,UFC-DataLab/UFCStats-derived name
ufcp-1dc48ed6-466d-5e9c-8d34-0be47b8352c7,alessandro costa,Alessandro Costa,ALESSANDRO COSTA,UFC-DataLab/UFCStats-derived name
ufcp-1a8a6d3d-5b2e-52f0-a9ea-943adeeb2f88,alessio di chirico,Alessio Di Chirico,ALESSIO DI CHIRICO,UFC-DataLab/UFCStats-derived name
ufcp-1a8a6d3d-5b2e-52f0-a9ea-943adeeb2f88,alessio di chirico,Alessio Di Chirico,Alessio Di Chirico,UFC-DataLab/UFCStats-derived name
ufcp-c872390b-0bf6-5327-b252-f911bf3b6977,alessio sakara,Alessio Sakara,Alessio Sakara,UFC-DataLab/UFCStats-derived name
ufcp-c872390b-0bf6-5327-b252-f911bf3b6977,alessio sakara,Alessio Sakara,ALESSIO SAKARA,UFC-DataLab/UFCStats-derived name
ufcp-5e29bf97-b40e-57d3-994c-37d3644f5e60,alex andrade,Alex Andrade,ALEX ANDRADE,UFC-DataLab/UFCStats-derived name
ufcp-5e29bf97-b40e-57d3-994c-37d3644f5e60,alex andrade,Alex Andrade,Alex Andrade,UFC-DataLab/UFCStats-derived name
ufcp-d6f499c6-1304-5fa6-b047-21c933a864f7,alex caceres,Alex Caceres,Alex Caceres,UFC-DataLab/UFCStats-derived name
ufcp-d6f499c6-1304-5fa6-b047-21c933a864f7,alex caceres,Alex Caceres,ALEX CACERES,UFC-DataLab/UFCStats-derived name
ufcp-981f6bb3-e976-58dc-a6b5-92116e1a0351,alex chambers,Alex Chambers,Alex Chambers,UFC-DataLab/UFCStats-derived name
ufcp-981f6bb3-e976-58dc-a6b5-92116e1a0351,alex chambers,Alex Chambers,ALEX CHAMBERS,UFC-DataLab/UFCStats-derived name
ufcp-e0a1c8bd-7dcb-503c-b384-fbdb39183216,alex crispin,Alex Crispin,Alex Crispin,UFC-DataLab/UFCStats-derived name
